product_id,product_name,price
a3286466-9f40-48c6-b49e-6097a6b260e4,sign,56.95
26eadfcd-c7c4-497b-9915-26abad7a8efe,notice,281.71
0f280cf2-138b-4c35-9bd6-b428184b7472,rate,436.38
803d5219-7ffb-4c90-b838-9f83389abf7d,wrong,441.43
661ba140-85ef-4218-9f4e-1831a1c02db0,middle,220.94
56131363-61ec-43a7-9d02-3f8451d8f954,wind,339.13
8d13d1bc-2ea1-475d-8beb-4310ebd74ef1,exist,166.89
037ca05b-9d13-4fc8-b55e-4abd2653e5ad,effect,14.74
1f983985-6fca-44d9-9c38-d9e4fb8d0a8f,top,350.36
513c4e36-3c72-4ed2-b95f-b5248ad44722,foot,477.55
e5922a07-f76a-44f3-878b-b143c0d11cd0,range,431.91
13ebe60b-531e-4242-9218-cc2ff7323164,what,291.05
5b2afcf3-9c07-4516-bc91-911c82f36f21,seem,265.21
9659d775-3127-40aa-bc73-cdfa6edd80a0,thing,72.89
2195ca52-a536-4441-8788-22ec4270854b,step,259.01
d159c3af-6aee-4237-87ed-79cd72c2ddea,each,23.38
ded7e6e0-45d8-4815-be3d-63cb78210dd5,why,388.89
94aad9b4-ee10-44de-8e0c-f7178fdff492,mean,237.32
c4c2c27c-31bc-4e89-b700-5e7d5044a278,book,310.32
5e53fd51-c788-4b87-936f-2d45908df6e2,military,457.39
019ff933-7d04-48de-8bf3-07d703fc2185,pressure,218.58
8d68dee0-0523-4833-80ee-d6850737ac1c,traditional,180.46
fb1ba1bf-ba9c-4387-84e6-c5f131df222e,painting,215.76
73e2446b-7a3b-4f40-9169-5d0189fd52da,also,129.76
9b8bd6cb-0914-40df-a838-f182cfa73950,throw,142.84
a7d023a0-22e7-4f0f-a5fb-294bfbe8e3fd,treatment,448.66
ede4a181-544f-4306-b190-beece7ddfb3e,side,221.87
a0731bd5-9056-45e3-9639-d114e32252e7,medical,44.66
362cbb50-9049-41d0-8099-c4b51d4086f7,feeling,193.63
a059f960-c03d-4d0a-99d3-a1126a641c59,magazine,283.51
4737a87d-2680-492b-b565-7f50188d3081,draw,164.03
0cdf751a-dc34-42f8-974a-796a93a743de,return,389.25
e6c40e82-5afd-4440-b327-de91f373263b,care,201.43
8db46ac8-42a9-4730-809e-5a27080eb9bb,but,257.69
73593410-54c4-419e-a457-6be4055c12c4,each,66.8
5e3faa0b-0cea-495d-987a-5ab29bb88562,skin,114.97
9ac55eca-002f-4ed0-a78b-83b9b48a6037,phone,48.77
727773f5-782b-4e36-bd18-4faa1b1495b6,one,58.81
db0e3792-01af-4e7a-8249-14d044ee9b2b,serious,56.78
6b4d603a-2796-498e-bf13-72c6a84e24f8,risk,368.07
fde36c39-8080-42df-8b95-78e003911eb3,information,132.63
821ca976-179a-4fd9-884c-007a80ccc4f9,provide,244.17
0a9da1c0-3bf0-4c57-9cbb-8e02244b9d90,crime,475.1
7e100c8f-b116-4bf8-912b-042e2937c328,behind,388.59
5287a148-4bf7-4373-9cca-fdf0bf874fe8,consider,70.95
0e811d3e-23a3-4eb1-89fa-baf453e8c264,control,439.71
f1f6b62d-6eaa-4525-b74a-23f0c9b5bf6b,shake,381.46
775aa63a-fa2f-45f0-b97e-5fd64c112b5f,floor,490.24
3a8ce285-c9f6-47e3-a50d-e7ac6e50a130,with,107.06
fe1b77d9-fff9-4847-bf40-9d073d319bf3,pass,174.4
